"35355","4","6","1","1","38.05","42.53","0.45","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35356","2","4","1","2","44.21","38.50","1.57","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35357","4","11","0","2","40.07","41.98","0.81","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35358","6","11","2","3","42.08","42.79","0.93","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35359","2","11","3","0","42.64","43.72","1.66","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35360","2","1","2","1","44.30","41.14","0.68","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35361","9","4","3","2","38.05","39.26","1.12","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35362","4","9","2","1","38.14","39.17","1.10","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35363","4","9","1","0","39.24","38.07","0.88","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35364","4","6","2","1","40.12","41.15","1.10","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35365","4","5","2","1","41.22","40.00","0.88","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35366","2","1","2","1","44.98","40.46","0.55","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35367","11","10","2","0","42.06","41.67","0.96","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35368","11","6","2","0","43.02","40.05","0.70","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35369","10","11","2","0","40.71","43.72","1.30","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35370","9","4","2","1","37.19","42.10","1.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35371","4","10","5","3","40.61","42.01","1.14","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35372","10","4","1","0","40.87","41.75","1.09","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35373","10","1","2","2","41.96","39.91","0.20","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35374","4","6","3","2","40.66","39.35","0.87","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35375","4","6","2","1","41.53","38.48","0.70","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35376","4","6","1","2","42.23","37.78","1.45","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35377","4","6","3","2","40.78","39.23","0.84","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35378","1","6","2","1","40.11","38.38","0.83","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35379","1","6","1","2","40.94","37.55","1.34","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35380","1","6","4","3","39.60","38.89","0.93","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35381","1","2","2","0","40.53","45.53","1.50","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35382","1","2","2","1","42.03","44.03","1.20","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35383","1","2","2","0","43.23","42.83","0.96","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35384","1","2","2","1","44.19","41.87","0.77","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35385","1","2","2","1","44.96","41.10","0.61","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35386","1","9","2","1","45.57","38.68","0.31","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35387","4","5","2","0","41.62","39.12","0.75","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35388","5","8","1","1","38.37","39.26","0.09","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35389","8","17","3","1","39.17","39.26","1.01","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35390","1","2","1","2","45.88","40.49","1.54","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35391","2","12","4","2","42.03","36.79","0.48","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35392","1","6","2","1","44.34","37.96","0.36","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35393","1","15","3","0","44.70","38.36","0.55","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35394","1","2","0","0","45.25","42.51","0.27","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35395","1","2","1","2","44.98","42.78","1.22","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35396","4","2","2","1","42.37","44.00","1.16","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35397","4","6","0","2","43.53","37.60","1.59","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35398","6","17","2","1","39.19","38.25","0.91","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35399","6","9","2","1","40.10","38.37","0.83","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35400","6","2","3","2","40.93","42.84","1.19","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35401","1","6","1","3","43.76","42.12","1.16","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35402","6","4","4","2","43.28","41.94","0.87","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35403","1","6","4","2","42.60","44.15","1.16","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35404","4","5","2","1","41.07","38.46","0.74","2018-11-24 21:58:40","2018-11-24 21:58:40"
